,Cate,Count
0,/Sensitive Subjects,11094
1,/News,7529
2,/News/Politics,7461
3,/Business & Industrial,6676
4,/Law & Government/Government,5313
5,/Computers & Electronics/Consumer Electronics,4676
6,/News/Sports News,4150
7,/Arts & Entertainment,3367
8,/Arts & Entertainment/Movies,2837
9,/Arts & Entertainment/TV & Video/TV Shows & Programs,2803
10,/Computers & Electronics,2575
11,/Law & Government/Public Safety/Crime & Justice,2504
12,/Science/Engineering & Technology,2392
13,/Hobbies & Leisure,2298
14,/Internet & Telecom/Mobile & Wireless/Mobile Phones,2241
15,/People & Society,2191
16,/Science/Astronomy,2044
17,/Law & Government,1985
18,/Arts & Entertainment/Celebrities & Entertainment News,1891
19,/Science,1780
20,/News/Business News,1730
21,/Games/Computer & Video Games,1691
22,/Sports/Team Sports/Soccer,1683
23,/Law & Government/Legal,1571
24,/Science/Biological Sciences,1500
25,/People & Society/Social Issues & Advocacy,1489
26,/Law & Government/Public Safety,1371
27,/Business & Industrial/Aerospace & Defense/Space Technology,1306
28,/Computers & Electronics/Software/Operating Systems,1189
29,/Arts & Entertainment/Music & Audio,1129
30,/Computers & Electronics/Software,1113
31,/Law & Government/Military,1057
32,/People & Society/Religion & Belief,1003
33,/Science/Earth Sciences,993
34,/Health,992
35,/Internet & Telecom/Mobile & Wireless,987
36,/Law & Government/Public Safety/Law Enforcement,975
37,/Sports/Team Sports/American Football,944
38,/Computers & Electronics/Computer Security,888
39,/Sports/Team Sports/Baseball,860
40,/Autos & Vehicles,851
41,/Internet & Telecom,831
42,/Arts & Entertainment/Humor,747
43,/Internet & Telecom/Service Providers,740
44,/Computers & Electronics/Computer Hardware,728
45,/Shopping/Apparel/Clothing Accessories,722
46,/Pets & Animals/Wildlife,693
47,/Books & Literature,664
48,/Travel,634
49,/News/Business News/Company News,610
50,/People & Society/Social Issues & Advocacy/Green Living & Environmental Issues,598
51,/Arts & Entertainment/Online Media,592
52,/Jobs & Education/Education,581
53,/Sports/Team Sports/Basketball,579
54,/Health/Health Conditions/Infectious Diseases,564
55,/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,562
56,/Sports/Individual Sports/Racquet Sports,514
57,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,503
58,/Arts & Entertainment/TV & Video,493
59,/People & Society/Social Sciences/Political Science,489
60,/Travel/Air Travel,487
61,/Finance,483
62,/Computers & Electronics/Consumer Electronics/Game Systems & Consoles,480
63,/Finance/Investing,476
64,/Sports,453
65,/Science/Engineering & Technology/Robotics,438
66,/Computers & Electronics/Enterprise Technology,418
67,/Health/Health Conditions,414
68,/Reference,406
69,/Jobs & Education/Education/Colleges & Universities,403
70,/Business & Industrial/Energy & Utilities,402
71,/Sports/Team Sports/Cricket,401
72,/Sports/College Sports,398
73,/Arts & Entertainment/TV & Video/Online Video,381
74,/News/Weather,378
75,/Sports/Team Sports,372
76,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop,365
77,/Arts & Entertainment/Music & Audio/Rock Music,361
78,/Shopping/Toys,360
79,/Internet & Telecom/Web Services,355
80,/Health/Public Health,354
81,/Travel/Tourist Destinations,348
82,/Science/Physics,347
83,/Health/Reproductive Health,324
84,/Arts & Entertainment/Visual Art & Design,323
85,/Arts & Entertainment/Performing Arts,317
86,/News/Business News/Financial Markets News,314
87,/Science/Computer Science,307
88,/Shopping,307
89,/Arts & Entertainment/Music & Audio/Pop Music,305
90,/Reference/Humanities/History,305
91,/Online Communities,301
92,/Science/Earth Sciences/Geology,299
93,/Online Communities/Social Networks,298
94,/Business & Industrial/Energy & Utilities/Oil & Gas,298
95,/Pets & Animals,292
96,/Science/Earth Sciences/Atmospheric Science,290
97,/People & Society/Family & Relationships/Family,286
98,/Arts & Entertainment/Comics & Animation/Comics,284
99,/Business & Industrial/Transportation & Logistics,282
