,Category,count
0,News,22282
1,Arts & Entertainment,18673
2,Law & Government,15461
3,Computers & Electronics,14895
4,Science,11254
5,Business & Industrial,11183
6,Sensitive Subjects,11094
7,Sports,8386
8,People & Society,7254
9,Internet & Telecom,6163
10,Health,4853
11,Hobbies & Leisure,3167
12,Games,2686
13,Finance,2053
14,Travel,2042
15,Shopping,1948
16,Autos & Vehicles,1710
17,Jobs & Education,1569
18,Food & Drink,1504
19,Pets & Animals,1389
20,Reference,1191
21,Online Communities,918
22,Books & Literature,887
23,Beauty & Fitness,683
24,Home & Garden,672
25,Real Estate,314
26,Adult,44
27,Category,1
